section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
141,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Importation of a girl or boy from foreign country.
142,Cognizable,Non-bailable,,yes,Cognizable.,Non-bailable.,Court by which the kidnapping or abduction is triable.,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
143,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Trafficking of person.
144,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Exploitation of a trafficked child.
145,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Habitual dealing in slaves.
146,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,Unlawful compulsory labour.
147,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Waging or attempting to wage war, or abetting the waging of war, against the Government of India."
148,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Conspiring to commit certain offences against the State.
149,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Collecting arms, etc., with the intention of waging war against the Government of India."
150,Cognizable,Non-bailable,Court of Session,yes,C o g n izable.,Non-bailable.,Court of Session.,Concealing with intent to facilitate a design to wage war.
151,Cognizable,Non-bailable,Court of Session,yes,C o g n izable.,Non-bailable.,Court of Session.,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power."
152,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Act endangering sovereignty, unity and integrity of India."
153,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Waging war against Government of any foreign State at peace with the Government of India.
154,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Committing depredation on the territories of any foreign state at peace with the Government of India.
155,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Receiving property taken by war or depredation mentioned in sections 153 and 154.
156,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Public servant voluntarily allowing prisoner of state or war in his custody to escape.
157,Cognizable,Bailable,Magistrate of the first class,yes,Cognizable.,Bailable.,Magistrate of the first class.,Public servant negligently suffering prisoner of State or war in his custody to escape.
158,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Aiding escape of, rescuing or harbouring such prisoner."
159,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Abetting mutiny, or attempting to seduce an officer, soldier, sailor or airman from his allegiance or duty."
160,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Abetment of mutiny, if mutiny is committed in consequence thereof."
161,Cognizable,Non-bailable,Magistrate of the first class,yes,C o gnizable.,Non-bailable.,Magistrate of the first class.,"Abetment of assault by an officer, soldier, sailor or airman on his superior officer, when in execution of his office."
162,Cognizable,Non-bailable,Magistrate of the first class,yes,C o g n i z able.,Non-bailable.,Magistrate of the first class.,"Abetment of such assault, if the assault committed."
163,Cognizable,Bailable,Any Magistrate,yes,C ognizable.,Bailable.,Any Magistrate.,"Abetment of the desertion of an officer, soldier, sailor or airman."
164,Cognizable,Bailable,Any Magistrate,yes,C o g n i zable.,Bailable.,Any Magistrate.,Harbouring deserter.
165,Non-cognizable,Bailable,Any Magistrate,yes,Non- cognizable.,Bailable.,Any Magistrate.,Deserter concealed on board merchant vessel through negligence of master or person in charge thereof.
166,Cognizable,Bailable,Any Magistrate,yes,C ognizable.,Bailable.,Any Magistrate.,"Abetment of act of insubordination by an officer, soldier, sailor or airman if the offence be committed in consequence."
